assignment_id,assignment_type,due_date,longevity,value
1,Coding assignment,671864.96,17.23,4
2,Coding assignment,124808.03,3.91,4
3,Coding assignment,481717.08,9.95,2
4,Research paper,87860.97,11.52,3
5,Math problems,93445.59,18.73,1
6,Reading,347721.14,9.61,4
7,Coding assignment,486508.25,25.48,4
8,Project,616357.96,15.06,4
9,Presentation,802247.66,15.6,1
10,Lab report,573042.64,16.43,2
11,Research paper,6003.23,8.98,1
12,Math problems,12368.36,4.6,5
13,Presentation,617667.19,28.7,4
14,Coding assignment,210069.37,14.52,4
15,Project,734389.66,1.55,2
16,Research paper,74533.57,7.7,2
17,Reading,390309.02,6.42,3
18,Coding assignment,400587.55,9.02,2
19,Research paper,512895.97,3.7,2
20,Presentation,251221.45,2.26,4
21,Essay,434694.66,6.04,4
22,Research paper,32379.59,7.95,5
23,Presentation,503198.96,8.48,2
24,Reading,644302.67,23.1,4
25,Presentation,803791.0,4.32,1
26,Research paper,549018.23,11.02,2
27,Study for test,795527.36,6.25,4
28,Reading,869520.18,4.59,4
29,Study for test,523448.79,4.4,2
30,Coding assignment,126641.05,13.64,4
31,Discussion post,139890.81,23.42,4
32,Project,861524.65,13.52,1
33,Lab report,664662.34,7.37,3
34,Research paper,429378.02,6.86,2
35,Research paper,296259.34,7.58,3
36,Study for test,274453.07,28.67,2
37,Discussion post,618466.44,11.98,5
38,Coding assignment,73883.13,4.77,2
39,Project,599635.41,5.63,5
40,Lab report,308181.8,23.63,2
41,Discussion post,553347.99,28.18,1
42,Reading,733134.06,5.65,5
43,Discussion post,711698.17,11.4,5
44,Lab report,606585.87,6.81,1
45,Essay,131027.65,3.72,2
46,Essay,800965.59,4.38,5
47,Presentation,331408.83,7.84,3
48,Coding assignment,871073.2,9.9,5
49,Discussion post,625549.02,4.38,2
50,Presentation,827152.19,5.23,2
51,Reading,12163.03,10.99,5
52,Reading,332573.99,16.95,2
53,Study for test,156130.65,4.5,4
54,Lab report,323076.69,15.49,1
55,Research paper,557912.79,1.34,3
56,Study for test,568411.4,13.58,5
57,Research paper,360608.4,11.44,2
58,Coding assignment,416947.12,10.59,4
59,Study for test,638164.46,12.17,1
60,Reading,545529.76,6.34,1
61,Math problems,765533.51,2.32,5
62,Lab report,433555.24,5.3,2
63,Reading,65065.76,8.28,4
64,Essay,219338.1,6.9,2
65,Reading,744686.24,9.28,3
66,Reading,756525.6,8.9,2
67,Discussion post,870555.19,17.95,3
68,Study for test,682828.04,4.66,4
69,Essay,506130.7,10.81,4
70,Essay,132668.52,4.15,5
71,Project,434249.75,10.21,5
72,Study for test,136051.8,10.29,4
73,Lab report,407324.7,13.87,3
74,Project,161019.69,5.48,4
75,Essay,596355.37,16.64,2
76,Math problems,274622.18,22.04,4
77,Discussion post,345652.22,4.83,3
78,Coding assignment,85350.23,1.83,3
79,Essay,62992.7,14.81,1
80,Project,80122.33,7.12,2
81,Presentation,403673.9,3.49,4
82,Reading,19110.22,8.15,4
83,Math problems,328471.38,4.8,3
84,Study for test,808499.38,17.75,1
85,Discussion post,461998.42,14.82,4
86,Math problems,162505.9,9.25,4
87,Presentation,674653.23,2.2,2
88,Discussion post,334454.52,14.58,5
89,Research paper,697477.13,7.07,4
90,Coding assignment,16415.17,29.4,4
91,Study for test,808310.08,3.55,4
92,Research paper,220672.51,11.68,5
93,Math problems,255815.33,2.58,5
94,Study for test,569287.32,7.86,2
95,Lab report,348932.98,8.99,5
96,Project,234088.77,4.24,5
97,Study for test,292683.71,5.01,3
98,Reading,237646.56,4.04,1
99,Discussion post,13518.3,4.31,5
100,Math problems,248737.02,2.22,1
101,Presentation,33966.68,7.74,1
102,Lab report,267754.32,5.83,1
103,Study for test,165623.97,4.05,4
104,Study for test,822246.35,4.64,2
105,Coding assignment,576570.37,5.37,1
106,Project,431582.68,12.69,1
107,Essay,554669.13,4.25,4
108,Discussion post,656321.53,1.57,1
109,Lab report,518526.18,5.74,5
110,Math problems,681499.4,22.55,1
111,Study for test,694885.29,17.77,3
112,Coding assignment,784414.52,1.81,5
113,Reading,286840.52,4.68,3
114,Discussion post,288249.85,6.08,5
115,Math problems,529867.19,17.84,3
116,Math problems,694412.25,8.59,1
117,Essay,221491.44,8.32,2
118,Coding assignment,246389.94,18.47,1
119,Research paper,348149.04,3.27,4
120,Coding assignment,193577.56,10.83,3
121,Presentation,429706.48,1.08,5
122,Lab report,319313.98,7.12,4
123,Math problems,148872.02,26.93,2
124,Research paper,322897.14,18.83,3
125,Coding assignment,212471.04,10.61,4
126,Math problems,336093.68,3.95,1
127,Research paper,284316.71,29.37,1
